base	reading
大夫判官	たゆうのほうがん
大学或問	だいがくわくもん
大学頭	だいがくのかみ
大官大寺	だいかんだいじ
大室屋	おほむろや
大宰	たいさい
大宰権帥	だざいのごんのそつ
大家	たいか
大将軍	たいしやうぐん
大山	おおやま
大己貴神	おおなむちのかみ
大師	たいし
大平	おおだい
大平正芳	おおひらまさよし
大年神	おおとしのかみ
大床	おほゆか
大店法	だいてんほう
大庭景親	おおばのかげちか
大廟	たいびょう
大御神	おほみかみ
大徳寺	だいとくじ
大戦争	だいせんそう
大手	おほで
大掃除	おおそうじ
大摺上	おほすりあげ
大政	おおまさ
大政奉還	たいせいほうかん
大新聞	おおしんぶん
大旋風	だいせんぷう
大日如来	だいにちにょらい
大明	だいみょう
大智	だいち
大曲	おおまがり
大来皇女	おおくのひめみこ
大極殿	だいごくでん
大槻玄沢	おおつきげんたく
大歌所	おおうたどころ
大歓迎	だいかんげい
大殿	おほとの
大江広元	おおえのひろもと
大江朝綱	おおえのあさつな
大沽	タークー
大津皇子	おおつのみこ
大洪水	だいこうずい
大活躍	だいかつやく
大浪	おほなみ
大海人皇子	おおあまのおうじ
大海原	おおうなばら
大滝悟郎	おおたきごろう
大熊	おおくま
大物	だいもつ
大物主神	おおものぬしのかみ
大王	おおきみ
大理石	だいりせき
大田南畝	おおたなんぽ
大田實	おおたみのる
大田文	おおたぶみ
大田昌秀	おおたまさひで
大田植	おおたうえ
大田皇女	おおたのひめみこ
大盤	だいばん
大盤振舞	おおばんぶるまい
大盤石	だいばんじやく
大相撲	おおずもう
大祓詞	おおはらえのことば
大神	おおかみ
大神	おおみかみ
大神	おほみわ
大神通	だいじんづう
大童	おほわらは
大納会	だいのうかい
大納言	だいなごん
大納言経信	だいなごんつねのぶ
大腿部	だいたいぶ
大航海	だいこうかい
大蔵卿	おおくらきょう
大蔵永常	おおくらながつね
大角修	おおかどおさむ
大谷光瑩	おおたにこうえい
大谷刑部	おおたにぎょうぶ
大谷吉治	おおたによしはる
大谷吉継	おおたによしつぐ
大谷石	おおやいし
大赦	たいしや
大輔	たいふ
大違	おおちがい
大野晋	おおのすすむ
大野林火	おおのりんか
大野治長	おおのはるなが
大野美代子	おおのみよこ
大釜	おおがま
大鋸	おおが
大鎌	おおがま
大長刀	おおなぎなた
大隈言道	おおくまことみち
大隈重信	おおくましげのぶ
大音	だいおん
大音声	だいおんじやう
大音声	だいおんじよう
大領	だいりやう
大願	だいぐわん
大馬鹿	おおばか
天下	あめのした
天久	あめく
天保度	てんぽうど
天児屋根命	あめのこやねのみこと
天台座主	てんだいざす
天地	あめつち
天孫降臨	てんそんこうりん
天寵	てんちょう
天寿国繡帳	てんじゅこくしゅうちょう
天平時代	てんぴょうじだい
天文	てんぶん
天朝田畝制度	てんちょうでんぽせいど
天津神	あまつかみ
天津麻羅	あまつまら
天海	てんかい
天照大神	あまてらすおおみかみ
天皇	すめらみこと
天皇	てんわう
天目一箇神	あめのまひとつのかみ
天眼	てんげん
天磐船	あまのいわふね
天神原	てんじんばら
天竺	てんぢく
天竺様	てんじくよう
天草四郎	あまくさしろう
天衣無縫	てんいむほう
天辺	てんぺん
天降川	あもりがわ
天雲	あまぐも
天馬賢三	てんまけんぞう
太上天皇	だいじょうてんのう
太太	たいたい
太安万侶	おおのやすまろ
太宰府天満宮	だざいふてんまんぐう
太宰春台	だざいしゅんだい
太宰治	だざいおさむ
太平記	たいへいき
太政大臣	ダイジヤウダイジン
太政官	だいじょうかん
太政官	だじょうかん
太田和彦	おおたかずひこ
太田梨歩	おおたりほ
太郎	たらう
太陽	たいやう
太陽系	たいようけい
夫子	せこ
夫役	ぶやく
夭夭	ようよう
失楽園	しつらくえん
夾雑物	きょうざつぶつ
奇岩怪石	きがんかいせき
奥処	おくが
奥州藤原氏	おうしゅうふじわらし
奥義	おくぎ
奥義抄	おうぎしょう
奥能登	おくのと
奥院	おくのいん
女丈夫	じょじょうふ
女大学	おんなだいがく
女奴	めやつこ
女御	にようご
女房	にようばう
女神像	めがみぞう
女護島	にょごのしま
女餓鬼	めがき
女鹿	めが
奴婢	ぬひ
奴等	やつら
好々爺	こうこうや
好事家	こうずか
好古	よしふる
好奇心	こうきしん
好色一代男	こうしょくいちだいおとこ
如何	いか
如何	どう
如意輪観音	にょいりんかんのん
如月	にょげつ
如来	によらい
妄心	まうしん
妄想	もうぞう
妙喜庵	みょうきあん
妥当性	だとうせい
妻問婚	つまどいこん
姉弟	きょうだい
始皇帝	しこうてい
始終	しじゆう
姚興	ようこう
姨捨山	おばすてやま
姨捨山	をばすてやま
姫神山	ひめがみやま
姫神琴子	ひめがみことこ
娑婆	しやば
娑羅双樹	しやらさうじゆ
娘御	むすめご
婚約者	こんやくしゃ
媾合	こうごう
嫉妬心	しっとしん
嫡孫	ちやくそん
嫡男	ちやくなん
子供衆	こどもし
子午線	しごせん
子夏	しか
子張	しちょう
子有	しゆう
子母澤寛	しもざわかん
子游	しゆう
子牛健児	こうしこでい
子産	こむ
子福者	こぶくしゃ
孔門	こうもん
孔雀羊歯	くじゃくしだ
孔鯉	こうり
孝宗	ヒョジョン
孝雄	よしお
孝養	きょうよう
孝養	けうやう
孟珙	もうきょう
季路	きろ
学生	がくしょう
孫悟空	そんごくう
宇佐神宮	うさじんぐう
宇佐美魚目	うさみぎょもく
宇喜多秀家	うきたひでいえ
宇宙航空研究開発機構	うちゅうこうくうけんきゅうかいはつきこう
宇宙船	うちゅうせん
宇宙飛行士	うちゅうひこうし
宇津保	うつぼ
宇都宮頼綱	うつのみやよりつな
宇野宗佑	うのそうすけ
宇髄天元	うずいてんげん
守旧派	しゅきゅうは
守礼門	しゅれいもん
守覚法親王	しゅかくほうしんのう
安丸良夫	やすまるよしお
安久黒奈	やすひさくろな
安倍晋三	あべしんぞう
安倍晴明	あべのせいめい
安国寺恵瓊	あんこくじえけい
安土桃山	あづちももやま
安室奈美恵	あむろなみえ
安富祖	あふそ
安心	あんじん
安息日	あんそくにち
安慶	あんけい
安来節	やすぎぶし
安東金氏	アンドンキムシ
安河	やすのかは
安河	やすのかわ
安芸国	あきのくに
安藤昌益	あんどうしょうえき
安貞	やすさだ
安部慎一	あべしんいち
宍道湖	しんじこ
宗像和重	むなかたかずしげ
官人	くわんにん
官物	かんもつ
官能的	かんのうてき
定免法	じょうめんほう
定慶	じょうけい
定田	じょうでん
定覚	じょうかく
実叉難陀	じっしゃなんだ
実否	じつぷ
実在性	じつざいせい
実美	さねとみ
客待	きゃくまち
客観	かくかん
宣明暦	せんみょうれき
宣祖	ソンジョ
室家	しっか
室淵剛三	むろぶちごうぞう
室鳩巣	むろきゅうそう
宮内	みやうち
宮城郡	みやぎぐん
宮崎安貞	みやざきやすさだ
宮崎道三郎	みやざきみちさぶろう
宮本武蔵	みやもとむさし
宮本由美	みやもとゆみ
宮本輝	みやもとてる
宮沢喜一	みやざわきいち
宮沢賢治	みやざわけんじ
宮牆	きゅうしょう
宮負定雄	みやおいさだお
宮部寸七翁	みやべすなお
宰我	さいが
宵宮	よみや
家主	いえぬし
家入硝子	いえいりしょうこ
家子郎等	いへのこらうどう
家永三郎	いえながさぶろう
家畜化	かちくか
家系図	かけいず
家長	いえなが
容閎	ようこう
宿曜道	すくようどう
宿諾	しゅくだく
寂寞	じやくまく
寂寞	せきばく
寂寥感	せきりょうかん
密陀僧	みつだそう
富士川	ふじがは
富士町	ふじちょう
富士谷成章	ふじたになりあきら
富安風生	とみやすふうせい
富永仲基	とみながなかもと
富良太志	ふらたいし
富貴寺	ふきじ
富貴寺	ふきでら
寒山拾得	かんざんじっとく
寒気	さむけ
寒稽古	かんげいこ
寓話集	ぐうわしゅう
寛仁	かんじん
寛喜	かんぎ
寛衣	かんい
寝殿造	しんでんづくり
寧楽	なら
寧波	ニンポー
寸々	ずたずた
寺井	てらゐ
対位法	たいいほう
対手	あいて
対手	もこ
対聯	たいれん
寿者	じゅしゃ
専修念仏	せんじゅねんぶつ
専門的	せんもんてき
射手	しゃしゅ
将軍	しやうぐん
将門記	しょうもんき
小乱	こみだれ
小人	しょうじん
小便	せうべん
小倉	こくら
小倉	をぐら
小冠者	こくわんじや
小出粲	こいでつばら
小千谷縮	おぢやちぢみ
小原女	おはらめ
小名	せうみやう
小国玄斎	おぐにげんさい
小坂依子	こさかよりこ
小家	こいえ
小山	おやま
小山田	おやまだの
小島	こしま
小島信夫	こじまのぶお
小嶋元太	こじまげんた
小平奈緒	こだいらなお
小庭	こには
小式部内侍	こしきぶのないし
小径	こみち
小惑星	しょうわくせい
小文	こぶみ
小新聞	こしんぶん
小日向夢	こひなたゆめ
小早川秀秋	こばやかわひであき
小時	しょうじ
小林一茶	こばやしいっさ
小林賢也	こばやしけんや
小林達雄	こばやしたつお
小柳	おやなぎ
小栗判官	おぐりはんがん
小栗風葉	おぐりふうよう
小櫃川	おびつがわ
小池百合子	こいけゆりこ
小沢一郎	おざわいちろう
小河内	おごうち
小泉八雲	こいずみやくも
小泉純一郎	こいずみじゅんいちろう
小津安二郎	おづやすじろう
小渕恵三	おぶちけいぞう
小溝	おみぞ
小熊英二	おぐまえいじ
小物成	こものなり
小町集	こまちしゅう
小畑弘己	おばたひろき
小磯国昭	こいそくにあき
小笠原晴香	おがさわらはるか
小筥	こばこ
小羊	こひつじ
小菅	こすげ
小西行長	こにしゆきなが
小谷	こたに
小遣銭	こづかいせん
小野	をの
小野妹子	おののいもこ
小野小町	おののこまち
小野篁	おののたかむら
小野道風	おののとうふう
小雅	しょうが
小面	こづら
小風呂敷	こぶろしき
少名	すくな
少将	せうしやう
少年	せうねん
少彦名	すくなひこな
少彦名	すくなびこな
少者	しょうしゃ
尖閣諸島	せんかくしょとう
尚歯会	しょうしかい
尼子	あまご
尾形光琳	おがたこうりん
尾白猿夫	おじろましらお
尾羽	おばね
尾羽	をは
尾身幸次	おみこうじ
尾骶骨	びていこつ
居丈高	いたけだか
居場所	いばしょ
居家	いや
屎鮒	くそぶな
屛風歌	びょうぶうた
屯田兵	とんでんへい
山上憶良	やまのうえのおくら
山上樹実雄	やまがみきみお
山下	やまもと
山内	やまのうち
山内一豊	やまうちかつとよ
山内一豊	やまのうちかずとよ
山処	やまと
山口大口	やまぐちのおおぐち
山口草堂	やまぐちそうどう
山口誓子	やまぐちせいし
山口那津男	やまぐちなつお
山口青邨	やまぐちせいそん
山名宗全	やまなそうぜん
山城	やましろ
山城国	やましろのくに
山城理音	やましろりおん
山家学生式	さんげがくしょうしき
山家集	さんかしゅう
山崎闇斎	やまざきあんさい
山川	やまかは
山川	やまがわ
山幸彦	やまさちびこ
山形孝夫	やまがたたかお
山折哲雄	やまおりてつお
山本由美	やまもとゆみ
山東京伝	さんとうきょうでん
山椒大夫	さんしょうだゆう
山水屛風	せんずいびょうぶ
山田寺	やまだでら
山田詠美	やまだえいみ
山田風太郎	やまだふうたろう
山県大弐	やまがただいに
山県昌景	やまがたまさかげ
山県有朋	やまがたありとも
山窟	さんくつ
山縣有朋	やまがたありとも
山背大兄王	やましろのおおえのおう
山脇東洋	やまわきとうよう
山花貞夫	やまはなさだお
山辺丈夫	やまのべたけお
山道	やまぢ
山部赤人	やまべのあかひと
山野	さんや
山陰	せんおん
山鹿素行	やまがそこう
屹度	きつと
岑雄	みねお
岡崎三郎	おかざきさぶろう
岡本夏生	おかもとなつき
岡本来夢	おかもとらいむ
岡本綺堂	おかもときどう
岡田克也	おかだかつや
岡部元信	おかべもとのぶ
岩代	いはしろ
岩倉具視	いわくらともみ
岩城	いわぎ
岩手山	いわてさん
岩木	いはき
岩根	いはね
岩橋智樹	いわはしともき
岩畔	いわくろ
岩見重太郎	いわみじゅうたろう
岳州	がくしゅう
岸田文雄	きしだふみお
岸部海松	きしべみる
峰不二子	みねふじこ
島地黙雷	しまじもくらい
島津斉彬	しまづなりあきら
島津義弘	しまづよしひろ
島田一郎	しまだいちろう
島田秀雄	しまだひでお
崇元寺	そうげんじ
崇禎帝	すうていてい
崩御	ほうぎよ
嵌合暗翳庭	かんごうあんえいてい
巌本善治	いわもとよしはる
巌泉	がんせん
巌谷小波	いわやさざなみ
川原寺	かわらでら
川島武宜	かわしまたけよし
川端康成	かわばたやすなり
川縁	かわべり
川路利良	かわじとしよし
川路聖謨	かわじとしあきら
川隈	かはくま
川﨑麻世	かわさきまよ
工藤平助	くどうへいすけ
左右	さう
左右田喜一郎	そうだきいちろう
左大臣	さだいじん
左宗棠	さそうとう
左手	ゆんで
左馬頭	さまのかみ
巧笑	こうしょう
巧言令色	こうげんれいしょく
巨兵海賊団	きょへいかいぞくだん
巨鳥	きょちょう
差別	しゃべつ
巻煙草	まきたばこ
市場	いちば
布瀬	ふせ
布袋	ぬのぶくろ
帆船	はんせん
希代	きだい
希塩酸	きえんさん
帝国憲法	ていこくけんぽう
帝王学	ていおうがく
帝祖	ていそ
師家	しけ
師旅	しりょ
師長	もろなが
帯金具	おびかなぐ
帰趣	きしゅ
常世国	とこよのくに
常勝軍	じょうしょうぐん
常日頃	つねひごろ
常治	じょうじ
常磐津節	ときわづぶし
常荒	じょうこう
常陸国	ひたちのくに
常陸国風土記	ひたちのくにふどき
幕間	まくま
干支	えと
平中	へいちゅう
平仲	へいちゅう
平兼盛	たいらのかねもり
平内左衛門	へいないざえもん
平出修	ひらいでしゅう
平南	へいなん
平城	へいじょう
平城	へいぜい
平宗盛	たいらのむねもり
平家貞	たいらのいえさだ
平将門	たいらのまさかど
平尾澄子	ひらおすみこ
平岩親吉	ひらいわちかよし
平康頼	たいらのやすより
平忠度	たいらのただのり
平忠盛	たいらのただもり
平手政秀	ひらてまさひで
平攻	ひらぜめ
平時忠	たいらのときただ
平正盛	たいらのまさもり
平治	へいぢ
平清盛	たいらのきよもり
平生釟三郎	ひらおはちさぶろう
平田東助	ひらたとうすけ
平田篤胤	ひらたあつたね
平知盛	たいらのとももり
平等院	びょうどういん
平維盛	たいらのこれもり
平肉	ひらにく
平資盛	たいらのすけもり
平重衡	たいらのしげひら
平野寿将	ひらのひさま
年毎	としごと
幸代	さちよ
幸夫	さちお
幸島	こうじま
幸徳秋水	こうとくしゅうすい
幸田成友	こうだしげとも
幸田文	こうだあや
幼学	ようがく
幼稚園	ようちえん
幽微	ゆうび
幽霊船	ゆうれいせん
幾度	いくたび
幾星霜	いくせいそう
幾重	いくえ
広川町	ひろがわちょう
広東語	カントンご
広津柳浪	ひろつりゅうろう
広長舌	こうちょうぜつ
広開土王	こうかいどおう
庄官	しょうかん
店借人	たなかりにん
庚戌	かのえいぬ
度毎	たびごと
度羅楽	とらがく
座敷着	ざしきぎ
座蒲団	ざぶとん
庭園	ていゑん
庭訓往来	ていきんおうらい
康和	かうわ
康熙帝	こうきてい
廃仏毀釈	はいぶつきしゃく
廃棄物	はいきぶつ
廬州	ろしゅう
廬舎那	るさな
廬舎那仏	るしゃなぶつ
延喜式	えんぎしき
延慶	えんぎょう
延暦寺	えんりゃくじ
延暦寺	えんりやくじ
建礼門	けんれいもん
建礼門院	けんれいもんいん
建築家	けんちくか
建長寺	けんちょうじ
弁才船	べんざいせん
式亭三馬	しきていさんば
式部卿	しきぶきやう
弓弦	ゆんづる
引石健磁	ひきいしけんじ
弘法清水	こうぼうしみず
弘福寺	こうふくじ
弘道館	こうどうかん
弛緩	ちかん
弟子	ていし
弥五右衛門	やごえもん
弥勒仏	みろくぶつ
弥勒菩薩	みろくぼさつ
弦袋	つるぶくろ
張世傑	ちょうせいけつ
張作霖	ちょうさくりん
張国樑	ちょうこくりょう
張成沢	チャンソンテク
張継	ちょうけい
張邦昌	ちょうほうしょう
強弓	つよゆみ
形而上学	けいじじょうがく
形骸化	けいがいか
彦名	ひこな
彫刻家	ちょうこくか
彬彬	ひんぴん
彭徳懐	ほうとくかい
彰子	しょうし
影佐禎昭	かげささだあき
役夫工米	やくぶくまい
往来物	おうらいもの
往生要集	おうじょうようしゅう
待降節	たいこうせつ
後世	ごせ
後宮	こうきゆう
後徳大寺	ごとくだいじ
後手	うしろで
後拾遺集	ごしゅういしゅう
後撰集	ごせんしゅう
後日談	ごじつだん
後浜	あとはま
後添	のちぞい
後生	ごしょう
後白河法皇	ごしらかわほうおう
後白河院	ごしらかわいん
後知恵	あとぢえ
後藤卓也	ごとうたくや
後藤又兵衛	ごとうまたべえ
後藤清臣	ごとうきよおみ
後藤田正晴	ごとうだまさはる
後藤謙次	ごとうけんじ
後陣	ごぢん
後鳥羽上皇	ごとばじょうこう
後鳥羽院	ごとばいん
徒歩	かち
徒競走	ときょうそう
従三位	じゅさんみ
御人	ごじん
御仕置	おしおき
御伽草子	おとぎぞうし
御供	おんとも
御出	おいで
御出掛	おでかけ
御前	おまえ
御前	おまへ
御前	おんまえ
御前	みさき
御厨子所	みずしどころ
御合	みあい
御名	みな
御国	おくに
御堂	みだう
御大	みほ
御子	おんこ
御岳山	おんたけさん
御幣	ごへい
御幸	ごかう
御幸	ごこう
御座	みくら
御影石	みかげいし
御心	みこころ
御恩	ごおん
御感	ぎよかん
御成敗式目	ごせいばいしきもく
御房	ごばう
御房	ごぼう
御所	ごしよ
御手洗川	みたらしがわ
御拝	ごはい
御文	おふみ
御方	おんかた
御杖	みつゑ
御業	みわざ
御機嫌	ごきげん
御民	みたみ
御沙汰	ごさた
御産	ごさん
御真影	ごしんえい
御祖	みおや
御神	みかみ
御神楽	みかぐら
御舟	みふね
御衣	みけし
御言葉	みことば
御諸	みもろ
御謀叛	ごむほん
御身体	おからだ
御遊	ぎよいう
御酒	みき
御金	おかね
御霊	みたま
御霊会	ごりょうえ
御預	おあずけ
循循	じゅんじゅん
微言	びげん
徳利	とくり
徳大	とくだい
徳大寺	とくだいじ
徳大寺	とくだいじの
徳安	とくあん
徳富蘇峰	とくとみそほう
徳川家康	とくがわいえやす
徳川秀忠	とくがわひでただ
徳永直	とくながすなお
心中天網島	しんじゅうてんのあみじま
心操人使	しんそうひとし
心敬	しんけい
心筋梗塞	しんきんこうそく
心金	しんがね
忉利天	とうりてん
忌部	いみべ
忌野清志郎	いまわのきよしろう
忍坂	おさか
志操堅固	しそうけんご
志村菜奈	しむらなな
志村転弧	しむらてんこ
志筑忠雄	しづきただお
志貴皇子	しきのみこ
志賀島	しかのしま
志賀直哉	しがなおや
応天門	おうてんもん
忠信	ただのぶ
忠恕	ちゅうじょ
忠温	ただよし
忠純	ただずみ
念珠	ねんじゆ
忿怒	ふんぬ
思惟	しゆい
思索的	しさくてき
怡与造	いよぞう
怡親王	いしんのう
性命	せいめい
性理	せいり
怨憎会苦	おんぞうえく
怪我人	けがにん
恂恂	じゅんじゅん
恋力	こひぢから
恐怖	くふ
恐怖心	きょうふしん
恒河	ごうが
恤救規則	じゅっきゅうきそく
恩恵	ウネ
恭敬	くぎょう
恭親王	きょうしんのう
息軒	そっけん
恵心僧都	えしんそうず
恵慶法師	えぎょうほうし
恵林寺	えりんじ
悠々自適	ゆうゆうじてき
悪口	あくこう
悪口	わるくち
悪行	あくぎやう
悪衣悪食	あくいあくしょく
悪霊	あくれい
悪食	あくじき
悪魔風脚	ディアブルジャンブ
悲劇的	ひげきてき
悲愴感	ひそうかん
悲憤慷慨	ひふんこうがい
悲田院	ひでんいん
惟喬親王	これたかしんのう
惣体	そうたい
惣無事令	そうぶじれい
惣追捕使	そうついぶし
想像力	そうぞうりょく
愁嘆	しうたん
意気銷沈	いきしょうちん
愚管抄	ぐかんしょう
愛宕	おたぎ
愛宕山	あたごやま
愛弟子	まなでし
愛恋	あいれん
愛新覚羅	あいしんかくら
愛著	あいじゃく
感嘆詞	かんたんし
慈恵	じえ
慈救	じく
慎機論	しんきろん
慧命	えみょう
慧眼	えげん
慶胤	よしたね
憤怒	ふんぬ
憤怒相	ふんぬそう
懐具合	ふところぐあい
懐徳堂	かいとくどう
懶者	なまけもの
成唯識論	じょうゆいしきろん
成尋阿闍梨母集	じょうじんあじゃりのははのしゅう
成彬	せいひん
成瀬万理亜	なるせまりあ
成瀬澪	なるせみお
成行	しげゆき
我妹	わぎも
我妹子	わぎもこ
我等	われら
我部祖河	がぶそか
我鳥	わどり
戒厳令	かいげんれい
戒壇堂	かいだんどう
戒壇院	かいだんいん
戒飭	かいちょく
戦上手	いくさじょうず
戦国策	せんごくさく
戦女神	いくさめがみ
戦斧	せんぷ
截然	せつぜん
戯作者	げさくしゃ
戯言	たわごと
戴冠式	たいかんしき
戸田	へだ
戸田宗光	とだむねみつ
所作	しよさ
所帯	しよたい
所為	しよゐ
扈随	こずい
手前	てめえ
手土産	てみやげ
手島堵庵	てじまとあん
手弱女	たわやめ
手持無沙汰	てもちぶさた
手書	てかき
手枕	たまくら
手柄話	てがらばなし
手瓶	てがめ
手結	たゆひ
手織木綿	ておりもめん
手織縞	ておりじま
手足	しゅそく
打手	うつて
打捨	うちすて
扶桑略記	ふそうりゃくき
承久記	じょうきゅうき
承仕	しょうじ
承仕法師	じようじぼふし
承平	じょうへい
抒情的	じょじょうてき
抒情組曲	じょじょうくみきょく
抒情詩	じょじょうし
折節	をりふし
折返	をりかへし
抜打	ぬきうち
択捉島	えとろふとう
押領使	おうりょうし
抽出	ひきだし
抽象的	ちゅうしょうてき
拳拳服膺	けんけんふくよう
拳闘家	けんとうか
拾玉集	しゅうぎょくしゅう
拾遺和歌集	しゅういわかしゅう
拾遺愚草	しゅういぐそう
拾遺抄	しゅういしょう
拾遺集	しゅういしゅう
持仏堂	じぶつどう
指物師	さしものし
挑戦者	ちょうせんしゃ
挟侍	きょうじ
挫折感	ざせつかん
振舞	ふるまひ
掃掛	はきかけ
排他的	はいたてき
排泄物	はいせつぶつ
掛川市	かけがわし
掛絡	から
探査機	たんさき
探検隊	たんけんたい
推理力	すいりりょく
換骨脱胎	かんこつだったい
揺蕩井煙	たゆたいえん
損失補塡	そんしつほてん
損料屋	そんりょうや
摂取不捨	せつしゆふしや
摂津	せつつ
摩訶不思議	まかふしぎ
撚糸	よりいと
播磨国	はりまのくに
撰録	せんろく
撰集	せんじふ
操作	そうさく
擬人化	ぎじんか
擬人法	ぎじんほう
擬人観	ぎじんかん
擬声語	ぎせいご
擬態語	ぎたいご
擬音語	ぎおんご
支倉常長	はせくらつねなが
支石墓	しせきぼ
支那人	シナじん
支配下	しはいか
支配者	しはいしゃ
敗績	ハイセキ
教会暦	きょうかいれき
教王護国寺	きょうおうごこくじ
教育	けういく
教行信証	きょうぎょうしんしょう
教訓的	きょうくんてき
散木奇歌集	さんぼくきかしゅう
敦慶親王	あつよししんのう
敦睦	とんぼく
敬子	けいし
数千	すせん
数奇	すき
数寄屋橋	すきやばし
数打	かずうち
数珠	じゆず
数等	すうとう
整理整頓	せいりせいとん
敵味方	てきみかた
敷居	しきゐ
文在寅	ムンジェイン
文天祥	ぶんてんしょう
文字	もんじ
文学的	ぶんがくてき
文学社	ぶんがくしゃ
文屋康秀	ふんやのやすひで
文庫版	ぶんこばん
文徳	もんとく
文武	もんむ
文華秀麗集	ぶんかしゅうれいしゅう
文覚	もんがく
文言	ぶんげん
文話	ぶんわ
文質	ぶんしつ
文質彬彬	ぶんしつひんぴん
文選	もんぜん
斉衰	しさい
斎藤茂吉	さいとうもきち
斑犬	ぶちいぬ
斑鳩宮	いかるがのみや
斑鳩寺	いかるがでら
斗樽	とだる
斬新奇抜	ざんしんきばつ
新井伊織	あらいいおり
新内節	しんないぶし
新勅撰集	しんちょくせんしゅう
新古今集	しんこきんしゅう
新喜楽	しんきらく
新嘗祭	にいなめさい
新声社	しんせいしゃ
新屋	あたらしや
新山聡美	にいやまさとみ
新撰菟玖波集	しんせんつくばしゅう
新撰髄脳	しんせんずいのう
新渡戸稲造	にとべいなぞう
新猿楽記	しんさるがくき
新篇	しんぺん
新約聖書	しんやくせいしょ
新続古今和歌集	しんしょくこきんわかしゅう
新薬師寺	しんやくしじ
新見正興	しんみまさおき
新門前	しんもんぜん
方丈記	ほうじょうき
方位磁石	ほういじしゃく
方立	はうだて
方角	はうがく
施文	せもん
施薬院	せやくいん
旅人	たびと
旋頭歌	せどうか
旗幟鮮明	きしせんめい
既存	きぞん
日々	にちにち
日出	ひい
日向	ひむか
日向	ひゆうが
日和下駄	ひよりげた
日曜日	にちえうび
日本	につぽん
日本	にほん
日本書紀	にほんしょき
日本書紀	にほんしよき
日本武尊	やまとたけるのみこと
日本霊異記	にほんりょういき
日来	ひごろ
日毎	ひごと
日比	ひごろ
日照	ひでり
日葡辞書	にっぽじしょ
日記	にき
日車寛見	ひぐるまひろみ
日高見国	ひたかみのくに
日高郡	ひだかぐん
旧主	きうしゆ
旧唐書	くとうじょ
旧石器	きゅうせっき
旧辞	くじ
早乙女芽亜里	さおとめめあり
昇殿	しようでん
昌平黌	しょうへいこう
明倫堂	めいりんどう
明徳記	めいとくき
明恵	みょうえ
明星派	みょうじょうは
明智光秀	あけちみつひで
明月記	めいげつき
明石全登	あかしてるずみ
明神	みようじん
明障子	あかりしょうじ
星合	ほしあひ
星新一	ほししんいち
星野立子	ほしのたつこ
春告鳥	はるつげどり
春日	かすが
春日版	かすがばん
春服	しゅんぷく
春秋	はるあき
春色梅児誉美	しゅんしょくうめごよみ
是善	これよし
是程	これほど
是等	これら
時々	じじ
時宗	ときむね
時政	ときまさ
時透無一郎	ときとうむいちろう
時雨亭	しぐれてい
晩課	ばんか
普山	ふざん
普請中	ふしんちゅう
普通文	ふつうぶん
普遍的	ふへんてき
景宗	キョンジョン
景行	けいこう
景行天皇	けいこうてんのう
智仁親王	としひとしんのう
智光	ちこう
智積院	ちしゃくいん
智蔵	ちぞう
暁露	あかときつゆ
暖衣飽食	だんいほうしょく
暗黙知	あんもくち
暢気眼鏡	のんきめがね
暦象新書	れきしょうしんしょ
暴力的	ぼうりょくてき
暴虎馮河	ぼうこひょうが
暴風雨	ぼうふうう
曲承裕	きょくしょうゆう
曲物	まげもの
曲直瀬道三	まなせどうさん
更級郡	さらしなぐん
曹洞宗	そうとうしゅう
曽国荃	そうこくせん
曽国華	そうこくか
曽国藩	そうこくはん
曽天養	そうてんよう
曽祖父	そうそふ
曽立昌	そうりつしょう
曾参	そうしん
曾我物語	そがものがたり
曾根田	そねだ
曾禰好忠	そねのよしただ
最中	さなか
最高値	さいたかね
最高神	さいこうしん
月光	がっこう
月夜	つくよ
月夜涙	つきよるい
月宿	つきやど
月岡津南	つきおかつなん
月次絵	つきなみえ
月永求	つきながもとむ
月面着陸	げつめんちゃくりく
有五	ゆうご
有想	うそう
有王	ありわう
有色	うしき
有道	ゆうどう
有間皇子	ありまのみこ
有馬貴将	ありまきしょう
服部半蔵	はっとりはんぞう
服部平次	はっとりへいじ
望遠鏡	ぼうえんきょう
朝倉義景	あさくらよしかげ
朝夕	あさゆふ
朝夕	あしたゆふべ
朝川	あさかは
朝敵	てうてき
朝毎	あさごと
朝臣	あそみ
朝臣	あつそん
朝課	ちょうか
朝雨	あさあめ
木下藤吉郎	きのしたとうきちろう
木下順庵	きのしたじゅんあん
木地屋	きじや
木履	ぽくり
木戸孝允	きどたかよし
木曾義仲	きそよしなか
木林	きはやし
木精	こだま
木綿縞	もめんじま
木賃宿	きちんやど
木鍬	こくは
木食応其	もくじきおうご
末期	まつご
末木文美士	すえきふみひこ
末造	すえぞう
本保	ほんぽ
本地垂迹説	ほんじすいじゃくせつ
本多利明	ほんだとしあき
本多忠勝	ほんだただかつ
本多忠真	ほんだただざね
本多正信	ほんだまさのぶ
本多正純	ほんだまさずみ
本天	ほんてん
本居宣長	もとおりのりなが
本意	ほい
本朝通鑑	ほんちょうつがん
本生	ほんじょう
本草学	ほんぞうがく
本薬師寺	もとやくしじ
本辞	ほんじ
本間順治	ほんまじゅんじ
本阿弥光悦	ほんあみこうえつ
本高	ほんだか
朱元璋	しゅげんしょう
朱子学	しゅしがく
朱蒙	チュモン
